run_accession,sample_name,sample_acc,experiment,library_name,sra_study,center_name,platform,assay_type,librarysource,organism,releasedate,bases,size_in_bytes,size_in_GB,disease_sam,disease_stage_sam_s_dpl172,tissue_sam,run_file_create_date
SRR8615540,NCIH28_PLEURA,SRS4395271,SRX5414213,RNASeq-NCIH28_PLEURA,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,19083502570,10085115100,10.09,mesothelioma,metastasis,pleura,2019-02-23T23:35:00.000Z
SRR8615327,HS839T_FIBROBLAST,SRS4395463,SRX5414426,RNASeq-HS839T_FIBROBLAST,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,15263357956,7563198009,7.56,malignant_melanoma,primary,skin,2019-02-23T22:50:00.000Z
SRR8615551,JHUEM7_ENDOMETRIUM,SRS4395805,SRX5414849,RNASeq-JHUEM7_ENDOMETRIUM,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,14751112014,6977541212,6.98,carcinoma (adenocarcinoma),primary,endometrium,2019-02-23T23:18:00.000Z
SRR8615594,REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRS4395774,SRX5414806,RNASeq-REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,22336689946,11989474680,11.99,lymphoid_neoplasm (mantle_cell_lymphoma),primary,haematopoietic_and_lymphoid_tissue,2019-02-23T23:46:00.000Z
SRR8615696,MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRS4395696,SRX5414704,RNASeq-MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,19718415840,10495952745,10.5,"haematopoietic_neoplasm (acute_myeloid_leukaemia, M5)",primary,haematopoietic_and_lymphoid_tissue,2019-02-23T23:59:00.000Z
SRR8615979,NCIH1781_LUNG,SRS4395210,SRX5415071,RNASeq-NCIH1781_LUNG,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,19203611972,10131706731,10.13,carcinoma (bronchioloalveolar_adenocarcinoma),metastasis,lung,2019-02-24T00:28:00.000Z
SRR8615829,T84_LARGE_INTESTINE,SRS4395590,SRX5414571,RNASeq-T84_LARGE_INTESTINE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,28152950888,14164118813,14.16,carcinoma (adenocarcinoma),metastasis,large_intestine,2019-02-24T00:58:00.000Z
SRR8615526,CHP126_AUTONOMIC_GANGLIA,SRS4395298,SRX5414227,RNASeq-CHP126_AUTONOMIC_GANGLIA,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,20409543892,11448937461,11.45,neuroblastoma,primary,autonomic_ganglia,2019-02-23T23:32:00.000Z
SRR8615280,HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRS4395503,SRX5414473,RNASeq-HDLM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,16713103876,7636670706,7.64,lymphoid_neoplasm (Hodgkin_lymphoma),metastasis,haematopoietic_and_lymphoid_tissue,2019-02-23T22:59:00.000Z
SRR8615482,KYSE70_OESOPHAGUS,SRS4395337,SRX5414271,RNASeq-KYSE70_OESOPHAGUS,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,15880071834,7483256225,7.48,carcinoma (squamous_cell_carcinoma),primary,oesophagus,2019-02-23T23:17:00.000Z
SRR8615728,TT2609C02_THYROID,SRS4395669,SRX5414672,RNASeq-TT2609C02_THYROID,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,12248841458,5809421825,5.81,carcinoma (follicular_carcinoma),primary,thyroid,2019-02-23T23:36:00.000Z
SRR8616026,SNU626_CENTRAL_NERVOUS_SYSTEM,SRS4395946,SRX5415024,RNASeq-SNU626_CENTRAL_NERVOUS_SYSTEM,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,20255670594,10877547029,10.88,"glioma (astrocytoma_Grade_IV, glioblastoma_multiforme)",primary,central_nervous_system,2019-02-24T00:52:00.000Z
SRR8615518,MKN1_STOMACH,SRS4395305,SRX5414235,RNASeq-MKN1_STOMACH,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,20851476462,11015581026,11.02,carcinoma (mixed_adenosquamous_carcinoma),metastasis,stomach,2019-02-23T23:30:00.000Z
SRR8615923,JHOS4_OVARY,SRS4396025,SRX5415127,RNASeq-JHOS4_OVARY,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,17659164008,9240168617,9.24,carcinoma (adenocarcinoma),primary,ovary,2019-02-24T00:22:00.000Z
SRR8615419,HS600T_FIBROBLAST,SRS4395281,SRX5414334,RNASeq-HS600T_FIBROBLAST,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,16152941716,7919752734,7.92,malignant_melanoma,primary,skin,2019-02-23T23:00:00.000Z
SRR8615799,NCIH520_LUNG,SRS4395612,SRX5414601,RNASeq-NCIH520_LUNG,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,22148341914,11671295488,11.67,carcinoma (squamous_cell_carcinoma),primary,lung,2019-02-24T00:17:00.000Z
SRR8616169,22RV1_PROSTATE,SRS4395829,SRX5414881,RNASeq-22RV1_PROSTATE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,19562008250,9998459406,10.0,carcinoma,primary,prostate,2019-02-24T01:06:00.000Z
SRR8615910,KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRS4396036,SRX5415140,RNASeq-KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,14037906574,6628120234,6.63,"haematopoietic_neoplasm (acute_myeloid_leukaemia, M6)",primary,haematopoietic_and_lymphoid_tissue,2019-02-24T00:05:00.000Z
SRR8615654,SNU423_LIVER,SRS4395732,SRX5414746,RNASeq-SNU423_LIVER,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,15557858806,7796146603,7.8,carcinoma (hepatocellular_carcinoma),primary,liver,2019-02-23T23:41:00.000Z
SRR8615413,AN3CA_ENDOMETRIUM,SRS4395391,SRX5414340,RNASeq-AN3CA_ENDOMETRIUM,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,19065897058,9598509831,9.6,carcinoma (adenocarcinoma),metastasis,endometrium,2019-02-23T23:00:00.000Z
SRR8615560,JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRS4395797,SRX5414840,RNASeq-JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,26125451638,13022800022,13.02,lymphoid_neoplasm (B_cell_lymphoma_unspecified),primary,haematopoietic_and_lymphoid_tissue,2019-02-23T23:48:00.000Z
SRR8616040,HSC2_UPPER_AERODIGESTIVE_TRACT,SRS4395936,SRX5415010,RNASeq-HSC2_UPPER_AERODIGESTIVE_TRACT,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,18313477964,8993011924,8.99,carcinoma (squamous_cell_carcinoma),primary,upper_aerodigestive_tract,2019-02-24T00:51:00.000Z
SRR8615871,OVCAR8_OVARY,SRS4396073,SRX5415178,RNASeq-OVCAR8_OVARY,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,18354730404,9150165353,9.15,carcinoma,primary,ovary,2019-02-24T00:20:00.000Z
SRR8615944,NCIH1437_LUNG,SRS4396009,SRX5415106,RNASeq-NCIH1437_LUNG,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,15392335562,7614217984,7.61,carcinoma (adenocarcinoma),metastasis,lung,2019-02-24T00:29:00.000Z
SRR8615969,PK59_PANCREAS,SRS4395988,SRX5415081,RNASeq-PK59_PANCREAS,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,22555364844,12149601795,12.15,carcinoma,primary,pancreas,2019-02-24T00:32:00.000Z
SRR8615813,NCIH2122_LUNG,SRS4395601,SRX5414587,RNASeq-NCIH2122_LUNG,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,14630743648,7322854856,7.32,carcinoma (adenocarcinoma),metastasis,lung,2019-02-23T23:48:00.000Z
SRR8615550,LOUNH91_LUNG,SRS4395268,SRX5414850,RNASeq-LOUNH91_LUNG,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,13948253722,6563311736,6.56,carcinoma (squamous_cell_carcinoma),primary,lung,2019-02-23T23:19:00.000Z
SRR8615483,JHH1_LIVER,SRS4395336,SRX5414270,RNASeq-JHH1_LIVER,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,14849920314,7287174340,7.29,carcinoma (hepatocellular_carcinoma),primary,liver,2019-02-23T23:15:00.000Z
SRR8616010,T3M4_PANCREAS,SRS4395957,SRX5415040,RNASeq-T3M4_PANCREAS,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,17672189170,8890260174,8.89,carcinoma (ductal_carcinoma),metastasis,pancreas,2019-02-24T00:33:00.000Z
SRR8615789,COLO684_ENDOMETRIUM,SRS4395618,SRX5414611,RNASeq-COLO684_ENDOMETRIUM,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,23705391850,13376239838,13.38,carcinoma (adenocarcinoma),primary,endometrium,2019-02-24T00:07:00.000Z
SRR8615597,REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRS4395771,SRX5414803,RNASeq-REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,15265217972,7653377551,7.65,lymphoid_neoplasm (acute_lymphoblastic_B_cell_leukaemia),primary,haematopoietic_and_lymphoid_tissue,2019-02-23T23:27:00.000Z
SRR8615700,MSTO211H_PLEURA,SRS4395694,SRX5414700,RNASeq-MSTO211H_PLEURA,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,13242389972,6518486823,6.52,mesothelioma,metastasis,pleura,2019-02-23T23:29:00.000Z
SRR8615337,UACC893_BREAST,SRS4395454,SRX5414416,RNASeq-UACC893_BREAST,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,19189302090,9600967818,9.6,carcinoma (ductal_carcinoma),primary,breast,2019-02-23T22:58:00.000Z
SRR8618311,YD38_UPPER_AERODIGESTIVE_TRACT,SRS4397845,SRX5417205,RNASeq-YD38_UPPER_AERODIGESTIVE_TRACT,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,9500491828,4495457134,4.5,carcinoma (squamous_cell_carcinoma),primary,upper_aerodigestive_tract,2019-02-25T10:02:00.000Z
SRR8615843,IGR39_SKIN,SRS4395579,SRX5414557,RNASeq-IGR39_SKIN,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,17859998670,8199521183,8.2,malignant_melanoma,primary,skin,2019-02-24T00:15:00.000Z
SRR8615317,SNU407_LARGE_INTESTINE,SRS4395469,SRX5414436,RNASeq-SNU407_LARGE_INTESTINE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,17916364548,9030629674,9.03,carcinoma,metastasis,large_intestine,2019-02-23T22:58:00.000Z
SRR8615284,HCC827_LUNG,SRS4395499,SRX5414469,RNASeq-HCC827_LUNG,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,20508601864,10868868900,10.87,carcinoma (adenocarcinoma),primary,lung,2019-02-23T23:05:00.000Z
SRR8615612,NCIH1373_LUNG,SRS4395174,SRX5414788,RNASeq-NCIH1373_LUNG,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,16856972720,7789448959,7.79,carcinoma (adenocarcinoma),primary,lung,2019-02-23T23:49:00.000Z
SRR8615536,NCIH2444_LUNG,SRS4395120,SRX5414217,RNASeq-NCIH2444_LUNG,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,22123502176,11628419642,11.63,carcinoma (non_small_cell_carcinoma),primary,lung,2019-02-23T23:43:00.000Z
SRR8615525,SNU1076_UPPER_AERODIGESTIVE_TRACT,SRS4395299,SRX5414228,RNASeq-SNU1076_UPPER_AERODIGESTIVE_TRACT,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,21830836092,11768990885,11.77,carcinoma (squamous_cell_carcinoma),primary,upper_aerodigestive_tract,2019-02-23T23:37:00.000Z
SRR8615651,SNU478_BILIARY_TRACT,SRS4395734,SRX5414749,RNASeq-SNU478_BILIARY_TRACT,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,17147241064,9239609915,9.24,carcinoma,primary,biliary_tract,2019-02-23T23:39:00.000Z
SRR8615497,SKNMC_BONE,SRS4395146,SRX5414256,RNASeq-SKNMC_BONE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,21584705758,11599077139,11.6,Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour,metastasis,bone,2019-02-23T23:28:00.000Z
SRR8615650,SNU475_LIVER,SRS4395735,SRX5414750,RNASeq-SNU475_LIVER,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,17137084706,8648389254,8.65,carcinoma (hepatocellular_carcinoma),primary,liver,2019-02-23T23:34:00.000Z
SRR8615296,PK1_PANCREAS,SRS4395488,SRX5414457,RNASeq-PK1_PANCREAS,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,16595930342,8293823915,8.29,carcinoma,primary,pancreas,2019-02-23T22:55:00.000Z
SRR8615274,ECGI10_OESOPHAGUS,SRS4395509,SRX5414479,RNASeq-ECGI10_OESOPHAGUS,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,22082180450,12377733102,12.38,carcinoma,primary,oesophagus,2019-02-23T23:04:00.000Z
SRR8615678,SJSA1_BONE,SRS4395713,SRX5414722,RNASeq-SJSA1_BONE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,16014711500,7998418454,8.0,osteosarcoma,primary,bone,2019-02-23T23:47:00.000Z
SRR8615554,JHUEM1_ENDOMETRIUM,SRS4395802,SRX5414846,RNASeq-JHUEM1_ENDOMETRIUM,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,46960789916,23511668068,23.51,carcinoma (adenocarcinoma),primary,endometrium,2019-02-23T23:55:00.000Z
SRR8616149,P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRS4395847,SRX5414901,RNASeq-P12ICHIKAWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,24211638392,12786879524,12.79,lymphoid_neoplasm (acute_lymphoblastic_T_cell_leukaemia),primary,haematopoietic_and_lymphoid_tissue,2019-02-24T01:15:00.000Z
SRR8615240,MG63_BONE,SRS4395538,SRX5414513,RNASeq-MG63_BONE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,14113585268,6659072614,6.66,osteosarcoma,primary,bone,2019-02-23T22:49:00.000Z
SRR8615970,PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRS4395989,SRX5415080,RNASeq-PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,21953707844,11852949267,11.85,"haematopoietic_neoplasm (acute_myeloid_leukaemia, M3)",primary,haematopoietic_and_lymphoid_tissue,2019-02-24T00:51:00.000Z
SRR8615980,NCIH1792_LUNG,SRS4395980,SRX5415070,RNASeq-NCIH1792_LUNG,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,15925857356,8520229888,8.52,carcinoma (adenocarcinoma),metastasis,lung,2019-02-24T00:33:00.000Z
SRR8615933,SNU1_STOMACH,SRS4396017,SRX5415117,RNASeq-SNU1_STOMACH,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,21793342266,10913487600,10.91,carcinoma (undifferentiated_adenocarcinoma),metastasis,stomach,2019-02-24T00:34:00.000Z
SRR8616094,RKN_SOFT_TISSUE,SRS4395891,SRX5414956,RNASeq-RKN_SOFT_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,19905324824,9976280404,9.98,leiomyosarcoma,primary,soft_tissue,2019-02-24T01:00:00.000Z
SRR8616039,KYSE30_OESOPHAGUS,SRS4395937,SRX5415011,RNASeq-KYSE30_OESOPHAGUS,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,17820380612,8953656099,8.95,carcinoma (squamous_cell_carcinoma),primary,oesophagus,2019-02-24T00:49:00.000Z
SRR8615472,SNU886_LIVER,SRS4395346,SRX5414281,RNASeq-SNU886_LIVER,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,26673244732,13352908138,13.35,carcinoma (hepatocellular_carcinoma),primary,liver,2019-02-23T23:32:00.000Z
SRR8615237,MFE280_ENDOMETRIUM,SRS4395541,SRX5414516,RNASeq-MFE280_ENDOMETRIUM,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,15046230176,7097671191,7.1,carcinoma (adenocarcinoma),primary,endometrium,2019-02-23T22:53:00.000Z
SRR8616058,SW403_LARGE_INTESTINE,SRS4395258,SRX5414992,RNASeq-SW403_LARGE_INTESTINE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,11412012624,5360345364,5.36,carcinoma (adenocarcinoma),primary,large_intestine,2019-02-24T00:18:00.000Z
SRR8618303,WM88_SKIN,SRS4397853,SRX5417213,RNASeq-WM88_SKIN,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,11509818398,5545350448,5.55,malignant_melanoma,primary,skin,2019-02-25T10:05:00.000Z
SRR8615893,DMS79_LUNG,SRS4396054,SRX5415157,RNASeq-DMS79_LUNG,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,15529647486,7753202683,7.75,carcinoma (small_cell_carcinoma),primary,lung,2019-02-24T00:12:00.000Z
SRR8615949,COV362_OVARY,SRS4396006,SRX5415101,RNASeq-COV362_OVARY,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,20414193326,10960867090,10.96,carcinoma,primary,ovary,2019-02-24T00:38:00.000Z
SRR8615487,ISTMES2_PLEURA,SRS4395219,SRX5414266,RNASeq-ISTMES2_PLEURA,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,13587778056,6646271135,6.65,mesothelioma,metastasis,pleura,2019-02-23T23:16:00.000Z
SRR8615812,T47D_BREAST,SRS4395602,SRX5414588,RNASeq-T47D_BREAST,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,16861816074,8493194918,8.49,carcinoma (ductal_carcinoma),metastasis,breast,2019-02-24T00:18:00.000Z
SRR8616064,MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRS4395918,SRX5414986,RNASeq-MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,22488916338,11826004476,11.83,"haematopoietic_neoplasm (acute_myeloid_leukaemia, M0)",primary,haematopoietic_and_lymphoid_tissue,2019-02-24T00:58:00.000Z
SRR8615611,NCIH1793_LUNG,SRS4395765,SRX5414789,RNASeq-NCIH1793_LUNG,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,22624886174,11879920173,11.88,carcinoma (non_small_cell_carcinoma),primary,lung,2019-02-23T23:42:00.000Z
SRR8618316,WM1799_SKIN,SRS4397840,SRX5417200,RNASeq-WM1799_SKIN,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,21457782088,10730015318,10.73,malignant_melanoma,primary,skin,2019-02-25T10:24:00.000Z
SRR8616112,NCIH2227_LUNG,SRS4395877,SRX5414938,RNASeq-NCIH2227_LUNG,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,16271644592,8067602683,8.07,carcinoma (small_cell_carcinoma),primary,lung,2019-02-24T00:51:00.000Z
SRR8615899,NCIH1339_LUNG,SRS4396048,SRX5415151,RNASeq-NCIH1339_LUNG,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,16630993704,8336180759,8.34,carcinoma (small_cell_carcinoma),metastasis,lung,2019-02-24T00:25:00.000Z
SRR8615809,NCIH508_LARGE_INTESTINE,SRS4395605,SRX5414591,RNASeq-NCIH508_LARGE_INTESTINE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,18753583848,10063491205,10.06,carcinoma (adenocarcinoma),metastasis,large_intestine,2019-02-24T00:13:00.000Z
SRR8616073,KS1_CENTRAL_NERVOUS_SYSTEM,SRS4395911,SRX5414977,RNASeq-KS1_CENTRAL_NERVOUS_SYSTEM,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,13381899454,6334552922,6.33,"glioma (astrocytoma_Grade_IV, glioblastoma_multiforme)",primary,central_nervous_system,2019-02-24T00:18:00.000Z
SRR8615718,RH18_SOFT_TISSUE,SRS4395678,SRX5414682,RNASeq-RH18_SOFT_TISSUE,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,21128877608,11403414978,11.4,rhabdomyosarcoma (alveolar),primary,soft_tissue,2019-02-23T23:59:00.000Z
SRR8615658,SNU520_STOMACH,SRS4395229,SRX5414742,RNASeq-SNU520_STOMACH,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,21528246960,11593853210,11.59,carcinoma,primary,stomach,2019-02-23T23:53:00.000Z
SRR8615508,CAOV4_OVARY,SRS4395315,SRX5414245,RNASeq-CAOV4_OVARY,SRP186687,BROAD INSTITUTE,ILLUMINA,RNA-Seq,TRANSCRIPTOMIC,Homo sapiens,2019-03-27 00:00:00+00:00,21608072714,11568516098,11.57,carcinoma (adenocarcinoma),metastasis,ovary,2019-02-23T23:34:00.000Z
