,CellLine,Run,GCS_RNA_SRA_dirpaths,Tissue,Experiment,Sample,SRAStudy,ReleaseDate,LibraryName,LibrarySource,Sex,CenterName,size_MB,download_path
479,SKMEL24,SRR8616049,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616049/,SKIN,SRX5415001,SRS4395928,SRP186687,2019-03-27 12:24:38,RNASeq-SKMEL24_SKIN,TRANSCRIPTOMIC,male,BROAD INSTITUTE,11043,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/616/SRR8616049.sralite.1
480,ACCMESO1,SRR8615406,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615406/,PLEURA,SRX5414347,SRS4395239,SRP186687,2019-03-27 12:24:29,RNASeq-ACCMESO1_PLEURA,TRANSCRIPTOMIC,,BROAD INSTITUTE,6809,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615406.sralite.1
481,GRANTA519,SRR8615380,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615380/,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRX5414373,SRS4395417,SRP186687,2019-03-27 12:24:29,RNASeq-GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TRANSCRIPTOMIC,female,BROAD INSTITUTE,9629,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615380.sralite.1
482,NCIH838,SRR8615976,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615976/,LUNG,SRX5415074,SRS4395982,SRP186687,2019-03-27 12:24:39,RNASeq-NCIH838_LUNG,TRANSCRIPTOMIC,male,BROAD INSTITUTE,12350,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615976.sralite.1
483,K029AX,SRR8615716,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615716/,SKIN,SRX5414684,SRS4395223,SRP186687,2019-03-27 12:24:34,RNASeq-K029AX_SKIN,TRANSCRIPTOMIC,,BROAD INSTITUTE,6001,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615716.sralite.1
484,RERFLCAI,SRR8615591,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615591/,LUNG,SRX5414809,SRS4395172,SRP186687,2019-03-27 12:24:35,RNASeq-RERFLCAI_LUNG,TRANSCRIPTOMIC,,BROAD INSTITUTE,10015,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615591.sralite.1
485,T84,SRR8615829,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615829/,LARGE_INTESTINE,SRX5414571,SRS4395590,SRP186687,2019-03-27 12:24:32,RNASeq-T84_LARGE_INTESTINE,TRANSCRIPTOMIC,male,BROAD INSTITUTE,13507,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615829.sralite.1
486,A101D,SRR8615646,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615646/,SKIN,SRX5414754,SRS4395739,SRP186687,2019-03-27 12:24:34,RNASeq-A101D_SKIN,TRANSCRIPTOMIC,male,BROAD INSTITUTE,8545,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615646.sralite.1
487,CAL33,SRR8615265,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615265/,UPPER_AERODIGESTIVE_TRACT,SRX5414488,SRS4395516,SRP186687,2019-03-27 12:24:31,RNASeq-CAL33_UPPER_AERODIGESTIVE_TRACT,TRANSCRIPTOMIC,male,BROAD INSTITUTE,13949,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615265.sralite.1
488,CAL27,SRR8615267,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615267/,UPPER_AERODIGESTIVE_TRACT,SRX5414486,SRS4395514,SRP186687,2019-03-27 12:24:31,RNASeq-CAL27_UPPER_AERODIGESTIVE_TRACT,TRANSCRIPTOMIC,male,BROAD INSTITUTE,7828,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615267.sralite.1
489,CORL24,SRR8615422,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615422/,LUNG,SRX5414331,SRS4395384,SRP186687,2019-03-27 12:24:28,RNASeq-CORL24_LUNG,TRANSCRIPTOMIC,male,BROAD INSTITUTE,8098,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/615/SRR8615422.sralite.1
490,SKES1,SRR8615679,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615679/,BONE,SRX5414721,SRS4395143,SRP186687,2019-03-27 12:24:34,RNASeq-SKES1_BONE,TRANSCRIPTOMIC,male,BROAD INSTITUTE,11030,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/615/SRR8615679.sralite.1
491,SKMEL30,SRR8616055,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616055/,SKIN,SRX5414995,SRS4395924,SRP186687,2019-03-27 12:24:38,RNASeq-SKMEL30_SKIN,TRANSCRIPTOMIC,male,BROAD INSTITUTE,7527,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/616/SRR8616055.sralite.1
492,BL70,SRR8616118,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616118/,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRX5414932,SRS4395872,SRP186687,2019-03-27 12:24:37,RNASeq-BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TRANSCRIPTOMIC,male,BROAD INSTITUTE,11448,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/616/SRR8616118.sralite.1
493,BL41,SRR8616119,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616119/,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRX5414931,SRS4395871,SRP186687,2019-03-27 12:24:37,RNASeq-BL41_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TRANSCRIPTOMIC,male,BROAD INSTITUTE,10807,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/616/SRR8616119.sralite.1
494,5637,SRR8616172,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616172/,URINARY_TRACT,SRX5414878,SRS4395826,SRP186687,2019-03-27 12:24:37,RNASeq-5637_URINARY_TRACT,TRANSCRIPTOMIC,male,BROAD INSTITUTE,8615,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/616/SRR8616172.sralite.1
495,NCIH2452,SRR8615541,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615541/,PLEURA,SRX5414212,SRS4395270,SRP186687,2019-03-27 12:24:27,RNASeq-NCIH2452_PLEURA,TRANSCRIPTOMIC,male,BROAD INSTITUTE,10117,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615541.sralite.1
496,NCIH2004RT,SRR8615259,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615259/,SOFT_TISSUE,SRX5414494,SRS4395522,SRP186687,2019-03-27 12:24:31,RNASeq-NCIH2004RT_SOFT_TISSUE,TRANSCRIPTOMIC,,BROAD INSTITUTE,8816,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615259.sralite.1
497,HCT15,SRR8615281,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615281/,LARGE_INTESTINE,SRX5414472,SRS4395502,SRP186687,2019-03-27 12:24:30,RNASeq-HCT15_LARGE_INTESTINE,TRANSCRIPTOMIC,male,BROAD INSTITUTE,8068,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615281.sralite.1
498,SF539,SRR8615748,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615748/,CENTRAL_NERVOUS_SYSTEM,SRX5414652,SRS4395649,SRP186687,2019-03-27 12:24:33,RNASeq-SF539_CENTRAL_NERVOUS_SYSTEM,TRANSCRIPTOMIC,,BROAD INSTITUTE,11737,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615748.sralite.1
499,IGR1,SRR8615845,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615845/,SKIN,SRX5414555,SRS4395577,SRP186687,2019-03-27 12:24:31,RNASeq-IGR1_SKIN,TRANSCRIPTOMIC,male,BROAD INSTITUTE,7290,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615845.sralite.1
500,SW403,SRR8616058,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616058/,LARGE_INTESTINE,SRX5414992,SRS4395258,SRP186687,2019-03-27 12:24:38,RNASeq-SW403_LARGE_INTESTINE,TRANSCRIPTOMIC,female,BROAD INSTITUTE,5112,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/616/SRR8616058.sralite.1
501,MDST8,SRR8615580,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615580/,LARGE_INTESTINE,SRX5414820,SRS4395157,SRP186687,2019-03-27 12:24:35,RNASeq-MDST8_LARGE_INTESTINE,TRANSCRIPTOMIC,,BROAD INSTITUTE,6471,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615580.sralite.1
502,KMS18,SRR8615352,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615352/,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRX5414401,SRS4395442,SRP186687,2019-03-27 12:24:29,RNASeq-KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TRANSCRIPTOMIC,,BROAD INSTITUTE,9482,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/615/SRR8615352.sralite.1
503,JHOS4,SRR8615923,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615923/,OVARY,SRX5415127,SRS4396025,SRP186687,2019-03-27 12:24:40,RNASeq-JHOS4_OVARY,TRANSCRIPTOMIC,female,BROAD INSTITUTE,8812,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615923.sralite.1
504,HCC2108,SRR8615999,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615999/,LUNG,SRX5415051,SRS4395133,SRP186687,2019-03-27 12:24:39,RNASeq-HCC2108_LUNG,TRANSCRIPTOMIC,male,BROAD INSTITUTE,8365,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/615/SRR8615999.sralite.1
505,HCC95,SRR8615283,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615283/,LUNG,SRX5414470,SRS4395500,SRP186687,2019-03-27 12:24:30,RNASeq-HCC95_LUNG,TRANSCRIPTOMIC,male,BROAD INSTITUTE,8646,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615283.sralite.1
506,PECAPJ49,SRR8615305,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615305/,UPPER_AERODIGESTIVE_TRACT,SRX5414448,SRS4395478,SRP186687,2019-03-27 12:24:30,RNASeq-PECAPJ49_UPPER_AERODIGESTIVE_TRACT,TRANSCRIPTOMIC,male,BROAD INSTITUTE,10957,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615305.sralite.1
507,OELE,SRR8615229,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615229/,OVARY,SRX5414524,SRS4395549,SRP186687,2019-03-27 12:24:31,RNASeq-OELE_OVARY,TRANSCRIPTOMIC,,BROAD INSTITUTE,8782,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615229.sralite.1
508,FTC133,SRR8615869,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615869/,THYROID,SRX5415180,SRS4396075,SRP186687,2019-03-27 12:24:41,RNASeq-FTC133_THYROID,TRANSCRIPTOMIC,male,BROAD INSTITUTE,10303,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615869.sralite.1
509,NCIH1355,SRR8615905,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615905/,LUNG,SRX5415145,SRS4396042,SRP186687,2019-03-27 12:24:40,RNASeq-NCIH1355_LUNG,TRANSCRIPTOMIC,male,BROAD INSTITUTE,11308,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615905.sralite.1
510,HOP62,SRR8616205,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616205/,LUNG,SRX5415197,SRS4395285,SRP186687,2019-03-27 12:24:41,RNASeq-HOP62_LUNG,TRANSCRIPTOMIC,,BROAD INSTITUTE,8732,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/616/SRR8616205.sralite.1
511,THP1,SRR8616091,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616091/,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRX5414959,SRS4395893,SRP186687,2019-03-27 12:24:38,RNASeq-THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TRANSCRIPTOMIC,male,BROAD INSTITUTE,7862,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/616/SRR8616091.sralite.1
512,J82,SRR8615490,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615490/,URINARY_TRACT,SRX5414263,SRS4395331,SRP186687,2019-03-27 12:24:27,RNASeq-J82_URINARY_TRACT,TRANSCRIPTOMIC,male,BROAD INSTITUTE,7832,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615490.sralite.1
513,U937,SRR8615754,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615754/,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRX5414646,SRS4395643,SRP186687,2019-03-27 12:24:33,RNASeq-U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TRANSCRIPTOMIC,male,BROAD INSTITUTE,8124,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/615/SRR8615754.sralite.1
514,CAL78,SRR8615527,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615527/,BONE,SRX5414226,SRS4395297,SRP186687,2019-03-27 12:24:27,RNASeq-CAL78_BONE,TRANSCRIPTOMIC,male,BROAD INSTITUTE,4534,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615527.sralite.1
515,KMH2,SRR8615908,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615908/,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRX5415142,SRS4396039,SRP186687,2019-03-27 12:24:40,RNASeq-KMH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TRANSCRIPTOMIC,male,BROAD INSTITUTE,6271,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615908.sralite.1
516,DKMG,SRR8616008,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616008/,CENTRAL_NERVOUS_SYSTEM,SRX5415042,SRS4395958,SRP186687,2019-03-27 12:24:39,RNASeq-DKMG_CENTRAL_NERVOUS_SYSTEM,TRANSCRIPTOMIC,female,BROAD INSTITUTE,7271,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/616/SRR8616008.sralite.1
517,NCIH2009,SRR8615258,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615258/,LUNG,SRX5414495,SRS4395206,SRP186687,2019-03-27 12:24:31,RNASeq-NCIH2009_LUNG,TRANSCRIPTOMIC,female,BROAD INSTITUTE,7847,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/615/SRR8615258.sralite.1
518,NHAHTDD,SRR8615444,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615444/,CENTRAL_NERVOUS_SYSTEM,SRX5414309,SRS4395367,SRP186687,2019-03-27 12:24:28,RNASeq-NHAHTDD_CENTRAL_NERVOUS_SYSTEM,TRANSCRIPTOMIC,,BROAD INSTITUTE,9165,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615444.sralite.1
519,JVM2,SRR8615710,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615710/,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRX5414690,SRS4395685,SRP186687,2019-03-27 12:24:34,RNASeq-JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TRANSCRIPTOMIC,female,BROAD INSTITUTE,5576,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615710.sralite.1
520,SKRC20,SRR8615860,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615860/,KIDNEY,SRX5414540,SRS4395565,SRP186687,2019-03-27 12:24:31,RNASeq-SKRC20_KIDNEY,TRANSCRIPTOMIC,,BROAD INSTITUTE,10102,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615860.sralite.1
521,DMS79,SRR8615893,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615893/,LUNG,SRX5415157,SRS4396054,SRP186687,2019-03-27 12:24:41,RNASeq-DMS79_LUNG,TRANSCRIPTOMIC,,BROAD INSTITUTE,7394,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615893.sralite.1
522,TCCPAN2,SRR8615825,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615825/,PANCREAS,SRX5414575,SRS4395594,SRP186687,2019-03-27 12:24:32,RNASeq-TCCPAN2_PANCREAS,TRANSCRIPTOMIC,female,BROAD INSTITUTE,5991,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615825.sralite.1
523,NCIH2052,SRR8615254,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615254/,PLEURA,SRX5414499,SRS4395525,SRP186687,2019-03-27 12:24:31,RNASeq-NCIH2052_PLEURA,TRANSCRIPTOMIC,male,BROAD INSTITUTE,8774,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615254.sralite.1
524,NCCSTCK140,SRR8615342,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615342/,STOMACH,SRX5414411,SRS4395176,SRP186687,2019-03-27 12:24:29,RNASeq-NCCSTCK140_STOMACH,TRANSCRIPTOMIC,female,BROAD INSTITUTE,13463,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615342.sralite.1
525,DANG,SRR8615959,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615959/,PANCREAS,SRX5415091,SRS4395998,SRP186687,2019-03-27 12:24:40,RNASeq-DANG_PANCREAS,TRANSCRIPTOMIC,,BROAD INSTITUTE,9699,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615959.sralite.1
526,KS1,SRR8616073,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616073/,CENTRAL_NERVOUS_SYSTEM,SRX5414977,SRS4395911,SRP186687,2019-03-27 12:24:38,RNASeq-KS1_CENTRAL_NERVOUS_SYSTEM,TRANSCRIPTOMIC,female,BROAD INSTITUTE,6041,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/616/SRR8616073.sralite.1
527,L428,SRR8615486,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615486/,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRX5414267,SRS4395333,SRP186687,2019-03-27 12:24:27,RNASeq-L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TRANSCRIPTOMIC,female,BROAD INSTITUTE,6837,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615486.sralite.1
528,HS616T,SRR8615424,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615424/,FIBROBLAST,SRX5414329,SRS4395382,SRP186687,2019-03-27 12:24:28,RNASeq-HS616T_FIBROBLAST,TRANSCRIPTOMIC,male,BROAD INSTITUTE,8359,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615424.sralite.1
529,MONOMAC6,SRR8615696,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615696/,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRX5414704,SRS4395696,SRP186687,2019-03-27 12:24:34,RNASeq-MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TRANSCRIPTOMIC,male,BROAD INSTITUTE,10009,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615696.sralite.1
530,TOLEDO,SRR8616084,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616084/,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRX5414966,SRS4395900,SRP186687,2019-03-27 12:24:38,RNASeq-TOLEDO_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TRANSCRIPTOMIC,female,BROAD INSTITUTE,11272,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/616/SRR8616084.sralite.1
531,SW1353,SRR8615763,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615763/,BONE,SRX5414637,SRS4395636,SRP186687,2019-03-27 12:24:33,RNASeq-SW1353_BONE,TRANSCRIPTOMIC,female,BROAD INSTITUTE,7986,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615763.sralite.1
532,NCIH508,SRR8615809,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615809/,LARGE_INTESTINE,SRX5414591,SRS4395605,SRP186687,2019-03-27 12:24:32,RNASeq-NCIH508_LARGE_INTESTINE,TRANSCRIPTOMIC,male,BROAD INSTITUTE,9597,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615809.sralite.1
533,NCIH1373,SRR8615612,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615612/,LUNG,SRX5414788,SRS4395174,SRP186687,2019-03-27 12:24:35,RNASeq-NCIH1373_LUNG,TRANSCRIPTOMIC,male,BROAD INSTITUTE,7428,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615612.sralite.1
534,JHH4,SRR8615919,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615919/,LIVER,SRX5415131,SRS4396029,SRP186687,2019-03-27 12:24:40,RNASeq-JHH4_LIVER,TRANSCRIPTOMIC,male,BROAD INSTITUTE,7812,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/615/SRR8615919.sralite.1
535,TUHR10TKB,SRR8615721,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615721/,KIDNEY,SRX5414679,SRS4395676,SRP186687,2019-03-27 12:24:33,RNASeq-TUHR10TKB_KIDNEY,TRANSCRIPTOMIC,,BROAD INSTITUTE,8388,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615721.sralite.1
536,OCIAML3,SRR8615242,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615242/,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SRX5414511,SRS4395536,SRP186687,2019-03-27 12:24:31,RNASeq-OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,TRANSCRIPTOMIC,male,BROAD INSTITUTE,7709,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/615/SRR8615242.sralite.1
537,SH4,SRR8616090,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8616090/,SKIN,SRX5414960,SRS4395894,SRP186687,2019-03-27 12:24:38,RNASeq-SH4_SKIN,TRANSCRIPTOMIC,female,BROAD INSTITUTE,11421,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/616/SRR8616090.sralite.1
538,IOMMLEE,SRR8615491,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615491/,CENTRAL_NERVOUS_SYSTEM,SRX5414262,SRS4395330,SRP186687,2019-03-27 12:24:27,RNASeq-IOMMLEE_CENTRAL_NERVOUS_SYSTEM,TRANSCRIPTOMIC,,BROAD INSTITUTE,8827,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615491.sralite.1
539,KYSE450,SRR8615511,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615511/,OESOPHAGUS,SRX5414242,SRS4395312,SRP186687,2019-03-27 12:24:27,RNASeq-KYSE450_OESOPHAGUS,TRANSCRIPTOMIC,male,BROAD INSTITUTE,8631,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615511.sralite.1
540,UACC812,SRR8615338,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615338/,BREAST,SRX5414415,SRS4395453,SRP186687,2019-03-27 12:24:30,RNASeq-UACC812_BREAST,TRANSCRIPTOMIC,female,BROAD INSTITUTE,7718,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-16/SRR008/615/SRR8615338.sralite.1
541,HEC6,SRR8615626,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615626/,ENDOMETRIUM,SRX5414774,SRS4395756,SRP186687,2019-03-27 12:24:35,RNASeq-HEC6_ENDOMETRIUM,TRANSCRIPTOMIC,female,BROAD INSTITUTE,8227,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615626.sralite.1
542,HCC1419,SRR8615821,gs://ncbi-ccle-data/rawdata/RNA/SRA/SRR8615821/,BREAST,SRX5414579,SRS4395596,SRP186687,2019-03-27 12:24:32,RNASeq-HCC1419_BREAST,TRANSCRIPTOMIC,female,BROAD INSTITUTE,8371,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR008/615/SRR8615821.sralite.1
